player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,12,70.4,314,335,9.0,2.74,3,15,4.2,61.5,206,0,94,6.8,367,15,0.05,104,144,64.8,68.5,71.9,45.4,1,7,390,5,40.1,9.6,87.9,2.5,9,22,0,17,13,12,3.1,2441,7.3
Nico Iamaleava,174728,QB,TENNESSEE,13,72.0,321,335,11.1,2.96,9,17,4.8,63.6,213,0,120,7.8,417,18,0.11,137,307,38.5,78.3,81.7,53.7,2,5,445,4,47.7,25.0,100.3,7.2,30,50,1,2,19,11,2.5,2617,7.8
Maddux Madsen,163379,QB,BOISE ST,12,71.6,313,334,9.6,2.83,11,7,2.0,61.7,206,0,96,8.0,369,18,0.29,141,120,72.7,75.9,72.7,66.8,2,3,390,0,52.3,9.4,102.5,2.4,9,26,0,8,21,13,3.3,2552,7.6
Kevin Jennings,158272,QB,SMU,13,75.1,305,332,8.7,2.88,6,18,4.9,65.4,217,0,122,5.2,373,12,0.26,135,287,49.8,83.8,84.7,60.7,1,10,407,0,49.1,12.3,101.1,4.0,15,24,1,19,20,12,2.9,2953,8.9
Brett Gabbert,97404,QB,MIAMI OH,12,65.8,304,331,11.3,2.57,2,16,4.7,57.1,189,0,98,5.5,373,11,0.08,124,221,62.6,63.2,63.8,53.3,1,10,383,5,45.8,22.4,91.0,5.9,22,20,0,24,21,15,3.9,2605,7.9
Danny O'Neil,184200,QB,S DIEGO ST,11,72.5,305,330,9.6,2.77,6,13,3.7,62.7,207,0,122,6.3,384,14,0.0,107,284,58.8,69.8,73.4,45.5,4,6,413,3,40.6,20.5,86.5,6.5,25,28,0,15,12,7,1.7,2187,6.6
Quinn Ewers,127253,QB,TEXAS,11,76.2,311,329,7.3,2.62,4,10,2.9,67.5,222,0,97,6.3,370,15,0.14,129,311,28.3,66.9,66.0,57.3,1,8,384,1,46.8,20.6,105.2,5.4,20,15,0,13,25,15,3.9,2505,7.6
Luke Altmyer,146802,QB,ILLINOIS,12,71.5,298,328,10.4,2.99,8,19,5.4,60.4,198,0,145,7.0,388,15,0.14,134,187,28.0,76.2,74.9,62.9,3,5,418,3,46.4,20.0,99.8,7.5,29,31,1,18,21,14,3.3,2551,7.8
Spencer Petras,82136,QB,UTAH ST,9,76.2,307,326,8.3,2.56,4,8,2.3,65.6,214,0,75,8.5,350,20,0.1,108,329,63.5,67.6,68.3,50.4,4,11,373,0,48.3,16.0,89.7,3.4,12,11,0,11,17,13,3.5,2315,7.1
Riley Leonard,143862,QB,NOTRE DAME,13,77.9,303,326,7.7,2.82,5,15,4.3,66.6,217,0,117,8.1,383,19,0.16,130,258,66.1,84.1,74.2,83.2,8,6,406,2,50.7,12.0,96.4,3.7,14,42,1,9,17,7,1.7,2283,7.0
Aidan Chiles,173727,QB,MICH STATE,12,68.2,302,324,10.2,3.09,3,13,3.8,59.3,192,1,143,6.8,374,14,0.02,113,223,49.1,74.3,64.8,84.9,2,11,393,7,43.6,18.9,81.8,7.2,27,23,0,17,13,20,5.1,2415,7.5
Jacolby Criswell,122830,QB,N CAROLINA,11,68.7,294,322,10.1,2.93,8,10,2.9,57.5,185,1,152,8.4,380,17,0.06,122,245,52.7,69.3,66.2,68.6,9,6,403,3,42.9,15.8,89.4,6.3,24,32,1,10,15,12,3.0,2450,7.6
Kurtis Rourke,97998,QB,INDIANA,12,74.4,309,322,10.4,2.55,6,19,5.6,68.9,222,0,75,3.5,360,8,0.42,155,190,56.8,88.4,90.2,46.7,2,5,382,2,57.8,26.7,122.5,5.6,20,17,1,4,29,10,2.6,3042,9.4
Caden Veltkamp,156642,QB,W KENTUCKY,11,77.6,299,321,8.3,2.76,8,13,3.9,67.0,215,0,90,7.3,361,17,0.21,125,346,48.5,78.2,79.1,61.8,0,10,378,0,49.0,22.2,102.2,5.5,20,20,1,13,22,11,2.9,2654,8.3
