name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
DJ Walker,OHIO,2,S,Defense,,,,,,,,,,,,,60.7,60.8,74.3,58.8,795,359,4,432,"6' 1""",198
Darren James-Hamilton,OHIO,4,S,Defense,,,,,,,,,,,,,73.3,74,,71.7,814,318,,496,"5' 10""",187
Dom Dorwart,OHIO,3,WR,Offense,53.5,,,53.0,,59.2,454,,,227,,227,,,,,,,,,"6' 2""",208
Duncan Brune,OHIO,6,RB,Offense,65.5,,67.7,46.9,58.1,54.2,262,,120,91,24,27,,,,,,,,,"5' 11""",218
Eli Thompson,OHIO,7,CB,Defense,,,,,,,,,,,,,78.3,74.4,66.9,77.5,765,366,7,392,"5' 10""",183
Jack Fries,OHIO,27,LB,Defense,,,,,,,,,,,,,61.4,50.4,55.2,73.7,409,209,30,170,"6' 2""",225
KJ Sejour,OHIO,5,CB,Defense,,,,,,,,,,,,,75.7,61.7,,77.7,624,277,,347,"5' 9""",160
Kendall Bannister,OHIO,20,CB,Defense,,,,,,,,,,,,,67.5,72.5,66.9,64.9,348,159,1,188,"5' 11""",187
Matt Vezza,OHIO,9,QB,Offense,84.9,76.4,81.9,37.9,,60.1,860,484,82,4,,290,,,,,,,,,"6' 0""",198
Michael Molnar,OHIO,25,LB,Defense,,,,,,,,,,,,,80.3,80.6,73,72.7,396,170,36,190,"6' 3""",227
Pius Odjugo,OHIO,10,DT,Defense,,,,,,,,,,,,,69.3,69.1,68.4,58.7,307,167,138,2,"6' 3""",280
Bennett Christian,OHIO STATE,85,TE,Offense,45.3,,,54.8,41.0,47.1,255,,,42,27,186,,,,,,,,,"6' 6""",255
Bo Jackson,OHIO STATE,25,RB,Offense,86.6,,85.9,76.9,41.9,58.4,357,,181,145,27,4,,,,,,,,,"6' 0""",218
Brandon Inniss,OHIO STATE,1,WR,Offense,63.4,61.0,63.9,65.9,70.3,39.3,444,1,3,279,2,159,,,,,,,,,"6' 0""",197
Carson Hinzman,OHIO STATE,75,C,Offense,73.6,,,,76.0,71.9,841,,,,443,398,,,,,,,,,"6' 5""",301
Christian Alliegro,OHIO STATE,14,LB,Defense,,,,,,,,,,,,,62.3,67.4,81.2,50.4,449,172,39,238,"6' 4""",245
Devin McCuin,OHIO STATE,3,WR,Offense,77.7,,60.8,78.9,62.1,55.4,545,,2,346,1,196,,,,,,,,,"6' 0""",195
Devin Sanchez,OHIO STATE,6,CB,Defense,,,,,,,,,,,,,60.8,64.8,63.3,59.5,323,118,2,203,"6' 2""",199
Hunter Welcing,OHIO STATE,84,TE,Offense,61.0,,,66.1,41.8,50.6,441,,,217,18,206,,,,,,,,,"6' 3""",248
Jaylen McClain,OHIO STATE,8,S,Defense,,,,,,,,,,,,,78.1,77.6,57.1,77.1,708,307,8,393,"6' 0""",203
Jeremiah Smith,OHIO STATE,4,WR,Offense,90.7,,68.4,90.7,,74.7,632,,3,373,,256,,,,,,,,,"6' 4""",222
Jermaine Mathews Jr.,OHIO STATE,7,CB,Defense,,,,,,,,,,,,,62.2,64.6,63.1,61.5,695,299,17,379,"5' 11""",195
John Walker,OHIO STATE,55,DT,Defense,,,,,,,,,,,,,70.7,79,58.4,60,495,250,245,0,"6' 3""",302
Julian Sayin,OHIO STATE,10,QB,Offense,92.9,92.5,64.0,57.0,,60.0,832,438,23,1,,370,,,,,,,,,"6' 1""",214
Kayden McDonald,OHIO STATE,98,DT,Defense,,,,,,,,,,,,,86.2,91,63.1,65.9,448,218,230,0,"6' 3""",326
Kenyatta Jackson Jr.,OHIO STATE,2,EDGE,Defense,,,,,,,,,,,,,72.7,73.8,68.9,68.7,549,237,287,25,"6' 6""",263
Kyle Parker,OHIO STATE,5,WR,Offense,62.9,,,64.7,71.9,46.0,436,,,267,2,167,,,,,,,,,"5' 10""",198
