name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Cole Hutson,TEXAS,54,OG,Offense,64.4,,,,43.7,71.6,645,,,,374,271,,,,,,,,,"6' 5""",308
Colin Simmons,TEXAS,1,EDGE,Defense,,,,,,,,,,,,,84.3,77.2,91.7,56,615,220,321,74,"6' 3""",240
Connor Robertson,TEXAS,62,C,Offense,65.8,,,,66.8,66.3,557,,,,330,227,,,,,,,,,"6' 4""",312
DJ Campbell,TEXAS,56,OT,Offense,58.0,,,,56.0,59.2,715,,,,393,322,,,,,,,,,"6' 4""",315
Dylan Sikorski,TEXAS,56,OG,Offense,61.4,,,,59.9,59.7,444,,,,250,194,,,,,,,,,"6' 4""",332
Emmett Mosley V,TEXAS,3,WR,Offense,71.7,,,73.0,,49.5,361,,,221,,140,,,,,,,,,"6' 2""",210
Graceson Littleton,TEXAS,29,CB,Defense,,,,,,,,,,,,,70.6,80.4,61.1,69.3,616,198,11,407,"6' 0""",180
Hero Kanu,TEXAS,93,DT,Defense,,,,,,,,,,,,,69.2,69.6,67.8,60.6,476,198,270,8,"6' 5""",299
Hollywood Smothers,TEXAS,2,RB,Offense,78.7,60.4,79.4,77.1,41.0,62.5,476,1,164,198,81,32,,,,,,,,,"5' 11""",195
Ian Geffrard,TEXAS,95,DT,Defense,,,,,,,,,,,,,72.8,73.8,66.2,60,462,260,202,0,"6' 5""",387
Jelani McDonald,TEXAS,4,S,Defense,,,,,,,,,,,,,74.4,80.9,66.8,72.9,735,298,3,434,"6' 2""",199
Justin Cryer,TEXAS,28,LB,Defense,,,,,,,,,,,,,56.1,68,59.1,41.5,381,199,38,144,"6' 1""",238
Kade Phillips,TEXAS,8,CB,Defense,,,,,,,,,,,,,78.6,63.6,,80.3,256,95,,161,"6' 0""",190
Michael Masunas,TEXAS,15,TE,Offense,76.8,,,88.1,72.8,55.9,391,,,111,85,195,,,,,,,,,"6' 5""",259
Payton Kirkland,TEXAS,71,OT,Offense,70.1,,,,72.2,67.7,663,,,,392,271,,,,,,,,,"6' 6""",345
Raleek Brown,TEXAS,0,RB,Offense,80.7,,88.0,58.1,48.2,60.7,632,,188,288,79,77,,,,,,,,,"5' 9""",195
Rasheem Biles,TEXAS,3,LB,Defense,,,,,,,,,,,,,83.7,89.3,82.9,74.4,670,312,118,240,"6' 1""",220
Ryan Wingo,TEXAS,1,WR,Offense,70.9,49.3,68.5,72.2,,56.3,643,2,7,373,,261,,,,,,,,,"6' 2""",214
Sterling Berkhalter,TEXAS,18,WR,Offense,56.1,,,58.8,,39.5,520,,,333,,187,,,,,,,,,"6' 3""",203
Trevor Goosby,TEXAS,74,OT,Offense,76.2,,,,71.0,74.9,772,,,,441,331,,,,,,,,,"6' 7""",315
Albert Regis,TEXAS A&M,17,DT,Defense,,,,,,,,,,,,,72.2,82.2,58,60.9,469,212,257,0,"6' 1""",317
Anto Saka,TEXAS A&M,14,EDGE,Defense,,,,,,,,,,,,,72.7,54.5,84.1,60.9,347,134,196,17,"6' 4""",255
Ashton Bethel-Roman,TEXAS A&M,8,WR,Offense,59.4,,,57.3,63.9,72.3,579,,,345,1,233,,,,,,,,,"6' 0""",193
CJ Mims,TEXAS A&M,92,DT,Defense,,,,,,,,,,,,,69.7,66.9,66.2,67.2,356,170,186,0,"6' 2""",312
Chase Bisontis,TEXAS A&M,55,OT,Offense,72.4,,,,75.6,68.5,768,,,,440,328,,,,,,,,,"6' 5""",320
Coen Echols,TEXAS A&M,78,OG,Offense,57.2,,,,68.3,49.7,637,,,,405,232,,,,,,,,,"6' 4""",305
Daymion Sanford,TEXAS A&M,27,LB,Defense,,,,,,,,,,,,,70.1,66.2,81.5,63.3,525,223,53,249,"6' 2""",228
Dezz Ricks,TEXAS A&M,2,CB,Defense,,,,,,,,,,,,,59.9,49.9,,63.5,681,268,,413,"6' 1""",193
Houston Thomas,TEXAS A&M,87,TE,Offense,62.8,,,68.3,67.5,46.5,479,,,220,62,197,,,,,,,,,"6' 5""",252
Isaiah Horton,TEXAS A&M,7,WR,Offense,64.1,,,65.3,,54.4,601,,,365,,236,,,,,,,,,"6' 4""",215
Malik Agbo,TEXAS A&M,79,OT,Offense,76.8,,,,75.3,73.9,743,,,,383,360,,,,,,,,,"6' 5""",329
Marcel Reed,TEXAS A&M,10,QB,Offense,68.3,63.6,69.3,,62.2,60.1,850,468,47,,1,334,,,,,,,,,"6' 1""",185
Marcus Ratcliffe,TEXAS A&M,3,S,Defense,,,,,,,,,,,,,80.3,79.2,49.7,81.7,685,275,17,393,"6' 3""",211
Mario Craver,TEXAS A&M,1,WR,Offense,81.4,,69.6,82.7,,50.7,470,,11,294,,165,,,,,,,,,"5' 9""",180
Mark Nabou Jr.,TEXAS A&M,54,C,Offense,64.8,,,,75.7,59.2,756,,,,422,334,,,,,,,,,"6' 4""",307
Ray Coney,TEXAS A&M,21,LB,Defense,,,,,,,,,,,,,87.6,86.9,75.2,73.7,823,435,67,321,"6' 2""",240
Reuben Fatheree II,TEXAS A&M,77,OT,Offense,59.8,,,,59.9,59.4,684,,,,383,301,,,,,,,,,"6' 8""",320
Richie Anderson III,TEXAS A&M,84,TE,Offense,55.1,,,53.2,68.5,61.1,714,,,285,55,374,,,,,,,,,"6' 4""",265
Rueben Owens II,TEXAS A&M,4,RB,Offense,76.6,,80.1,66.3,47.5,63.4,385,,120,174,55,36,,,,,,,,,"5' 11""",215
Ryan Henderson,TEXAS A&M,17,EDGE,Defense,,,,,,,,,,,,,69.7,62.6,73.5,61.3,417,145,264,8,"6' 3""",256
T.J. Searcy,TEXAS A&M,18,EDGE,Defense,,,,,,,,,,,,,71.9,77.6,57.1,67.9,395,189,206,0,"6' 5""",260
Tawfiq Byard,TEXAS A&M,4,S,Defense,,,,,,,,,,,,,75,72.2,68.7,78.9,595,308,32,255,"6' 1""",198
Terry Bussey,TEXAS A&M,6,WR,Offense,52.8,,57.3,53.5,,49.2,430,,0,228,,201,,,,,,,,,"5' 10""",205
Trovon Baugh,TEXAS A&M,76,OG,Offense,53.1,,,,59.3,55.7,611,,,,354,257,,,,,,,,,"6' 4""",335
Tyler Onyedim,TEXAS A&M,11,DT,Defense,,,,,,,,,,,,,71.9,73.2,65,61.1,484,191,292,1,"6' 3""",295
Amarion Atwood,TEXAS ST,1,CB,Defense,,,,,,,,,,,,,59.1,75.1,67.9,56,438,207,19,212,"6' 1""",182
Amipeleasi Langi Jr.,TEXAS ST,99,DT,Defense,,,,,,,,,,,,,67.3,66.3,66.6,60,311,161,150,0,"6' 6""",312
Beau Sparks,TEXAS ST,11,WR,Offense,79.5,49.2,81.5,79.2,,66.8,884,2,5,456,,421,,,,,,,,,"5' 11""",181
Blake Smith,TEXAS ST,16,TE,Offense,59.0,74.6,,57.0,50.5,59.9,374,1,,162,29,182,,,,,,,,,"6' 4""",250
Brad Jackson,TEXAS ST,8,QB,Offense,79.2,73.1,73.8,52.3,,60.2,924,470,99,2,,353,,,,,,,,,"6' 0""",197
Chris Dawn Jr.,TEXAS ST,1,WR,Offense,74.3,,59.6,75.4,,64.8,733,,1,380,,352,,,,,,,,,"5' 9""",175
Craig Royal Jr.,TEXAS ST,3,CB,Defense,,,,,,,,,,,,,72.9,78.3,53.8,72.4,311,154,2,155,"6' 2""",185
Dexter Ricks Jr.,TEXAS ST,24,CB,Defense,,,,,,,,,,,,,60.8,47.9,60,63.1,367,164,1,202,"5' 11""",178
DonTerry Russell,TEXAS ST,5,EDGE,Defense,,,,,,,,,,,,,64.9,62.5,76.7,53.2,298,135,113,50,"6' 5""",228
Jason Patterson,TEXAS ST,30,EDGE,Defense,,,,,,,,,,,,,74.4,69.6,69.4,87.7,246,111,129,6,"6' 4""",229
Josiah Graham,TEXAS ST,18,EDGE,Defense,,,,,,,,,,,,,74,63.9,81.5,62.4,408,153,255,0,"6' 5""",250
Justin DeLeon,TEXAS ST,66,OG,Offense,67.1,,,,73.2,66.7,421,,,,217,204,,,,,,,,,"6' 3""",319
Kylen Evans,TEXAS ST,2,WR,Offense,52.6,,,52.5,,59.6,474,,,257,,217,,,,,,,,,"6' 2""",200
Malik Willis,TEXAS ST,20,CB,Defense,,,,,,,,,,,,,54.6,51,57.1,55.7,248,117,4,127,"6' 2""",172
Michael Patterson III,TEXAS ST,19,CB,Defense,,,,,,,,,,,,,76.9,82.3,52.1,75.8,492,160,13,319,"5' 10""",169
Phillip Bradford,TEXAS ST,44,EDGE,Defense,,,,,,,,,,,,,85.2,83,69.5,82.4,471,241,226,4,"6' 6""",308
Ryan Nolan,TEXAS ST,7,S,Defense,,,,,,,,,,,,,75.7,69.4,61.6,78.5,681,302,12,367,"5' 10""",187
Terrence Cooks II,TEXAS ST,16,LB,Defense,,,,,,,,,,,,,69.2,64.9,60.4,71.5,325,160,17,148,"6' 2""",231
Ty Stamey,TEXAS ST,18,TE,Offense,57.3,,,48.9,66.2,67.8,286,,,95,26,165,,,,,,,,,"6' 7""",250
A.J. Holmes Jr.,TEXAS TECH,10,DT,Defense,,,,,,,,,,,,,85.3,89,72.9,62.4,564,222,342,0,"6' 3""",300
Adam Trick,TEXAS TECH,20,EDGE,Defense,,,,,,,,,,,,,91.3,79.2,91.1,77.9,671,274,393,4,"6' 4""",250
Amier Boyd,TEXAS TECH,27,CB,Defense,,,,,,,,,,,,,73.4,79.1,50.7,71.8,528,211,4,313,"6' 2""",185
Austin Romaine,TEXAS TECH,15,LB,Defense,,,,,,,,,,,,,76.5,80.5,65.4,63.8,517,249,61,207,"6' 2""",240
Ben Roberts,TEXAS TECH,13,LB,Defense,,,,,,,,,,,,,86.3,86.4,53.2,90.5,791,292,49,450,"6' 3""",245
Brenden Jordan,TEXAS TECH,7,S,Defense,,,,,,,,,,,,,82.3,81.4,60,81,794,293,1,500,"6' 0""",205
Brice Pollock,TEXAS TECH,14,CB,Defense,,,,,,,,,,,,,82.5,79.1,59.4,82.5,797,295,6,496,"6' 0""",195
Bryce Butler,TEXAS TECH,92,DT,Defense,,,,,,,,,,,,,74,80.3,61.2,60,305,119,186,0,"6' 4""",320
Cameron Dickey,TEXAS TECH,8,RB,Offense,76.0,,81.3,56.6,30.4,50.2,560,,212,217,85,46,,,,,,,,,"5' 10""",215
Corey Platt Jr.,TEXAS TECH,9,LB,Defense,,,,,,,,,,,,,67.9,83.1,58.7,57.3,357,115,66,176,"6' 1""",215
Coy Eakin,TEXAS TECH,3,WR,Offense,67.4,,,66.4,71.8,69.5,697,,,417,5,275,,,,,,,,,"6' 2""",205
Davin Martin,TEXAS TECH,4,CB,Defense,,,,,,,,,,,,,61,58.1,51.7,61.6,437,183,6,248,"6' 2""",185
Donte Lee Jr.,TEXAS TECH,9,WR,Offense,80.2,,,81.0,,63.5,477,,,241,,236,,,,,,,,,"6' 3""",190
J'Koby Williams,TEXAS TECH,20,RB,Offense,88.4,,88.1,87.2,19.8,75.8,416,,160,173,66,17,,,,,,,,,"5' 10""",185
Jalen Jones,TEXAS TECH,6,WR,Offense,89.6,,63.1,89.6,,66.3,426,,1,264,,161,,,,,,,,,"5' 8""",180
Jamond Mathis,TEXAS TECH,8,EDGE,Defense,,,,,,,,,,,,,84.5,78.5,81.9,66.1,453,183,247,23,"6' 1""",250
Jayden Cofield,TEXAS TECH,51,DT,Defense,,,,,,,,,,,,,73.8,80.6,57.4,66.6,287,113,174,0,"6' 2""",330
Jett Carpenter,TEXAS TECH,85,TE,Offense,69.8,,,66.7,60.4,73.5,559,,,259,42,258,,,,,,,,,"6' 3""",255
John Curry,TEXAS TECH,6,CB,Defense,,,,,,,,,,,,,80.9,82.6,58.7,83.2,745,278,51,416,"6' 2""",235
Jordan Church,TEXAS TECH,54,OG,Offense,65.1,,,,50.0,69.1,514,,,,287,227,,,,,,,,,"6' 4""",320
Julien Laventure,TEXAS TECH,1,DT,Defense,,,,,,,,,,,,,76.1,68.7,78.4,60.8,657,308,349,0,"6' 0""",290
Kenny Johnson,TEXAS TECH,4,WR,Offense,69.0,,63.2,67.7,,72.8,690,,2,439,,249,,,,,,,,,"6' 1""",200
Lee Hunter,TEXAS TECH,2,DT,Defense,,,,,,,,,,,,,80.4,83.6,72.1,71.4,523,195,328,0,"6' 4""",330
Malcolm Simmons,TEXAS TECH,11,WR,Offense,71.2,,81.0,68.4,,65.9,365,,4,232,,129,,,,,,,,,"6' 0""",180
Mateen Ibirogba,TEXAS TECH,98,DT,Defense,,,,,,,,,,,,,77.3,68.8,78.4,68.6,395,158,237,0,"6' 4""",300
Sheridan Wilson,TEXAS TECH,72,C,Offense,66.4,,,,90.9,62.8,962,,,,529,433,,,,,,,,,"6' 5""",300
Terrance Carter Jr.,TEXAS TECH,7,TE,Offense,82.2,,60.8,83.3,65.9,67.8,608,,3,318,43,244,,,,,,,,,"6' 2""",245
Trey White,TEXAS TECH,2,EDGE,Defense,,,,,,,,,,,,,82.9,79.4,78,70.1,642,274,333,35,"6' 2""",250
Adjatay Dabbs,TOLEDO,3,WR,Offense,72.6,,60.1,72.9,,65.3,544,,3,312,,229,,,,,,,,,"6' 0""",170
Ahmad Carwise,TOLEDO,74,OG,Offense,65.7,,,,76.8,60.8,342,,,,190,152,,,,,,,,,"6' 5""",300
Andrew Zock,TOLEDO,0,EDGE,Defense,,,,,,,,,,,,,90.5,88.8,90.8,59.2,621,252,365,4,"6' 2""",250
Armorion Smith,TOLEDO,7,S,Defense,,,,,,,,,,,,,50.3,41.1,47.7,56.2,425,205,9,211,"6' 1""",212
CJ Miller,TOLEDO,22,RB,Offense,82.4,,82.9,74.6,52.4,57.3,432,,177,168,59,28,,,,,,,,,"5' 11""",230
Cam Jones,TOLEDO,1,CB,Defense,,,,,,,,,,,,,85.7,90.8,70.6,81.4,589,275,2,312,"5' 11""",190
Donovan Watkins,TOLEDO,4,CB,Defense,,,,,,,,,,,,,63.2,61,60,65.4,651,261,1,389,"5' 11""",180
Ethan Malafa,TOLEDO,81,TE,Offense,64.3,,,53.6,76.6,64.2,403,,,78,44,281,,,,,,,,,"6' 6""",250
Ethan Spoth,TOLEDO,72,OG,Offense,61.6,,,,55.0,63.1,706,,,,387,319,,,,,,,,,"6' 4""",302
Isaac Prince,TOLEDO,19,LB,Defense,,,,,,,,,,,,,77.6,81.5,69.5,70,343,149,13,181,"6' 0""",215
Israel Petite,TOLEDO,23,CB,Defense,,,,,,,,,,,,,71.8,83.2,57.5,68,575,304,3,268,"5' 11""",170
Jacob Newell,TOLEDO,88,TE,Offense,43.7,,,41.0,60.3,58.0,251,,,99,27,125,,,,,,,,,"6' 4""",245
Jonathan Harder,TOLEDO,73,OG,Offense,59.1,,,,74.2,54.9,396,,,,203,193,,,,,,,,,"6' 4""",330
KJ Thomas,TOLEDO,8,CB,Defense,,,,,,,,,,,,,54.9,75.7,,50.8,612,236,,376,"5' 11""",180
Kalvin Gilbert Jr.,TOLEDO,9,WR,Offense,63.1,,,63.7,,60.2,628,,,422,,206,,,,,,,,,"6' 4""",181
Langston Long,TOLEDO,6,LB,Defense,,,,,,,,,,,,,58.5,62.9,46.2,61.6,360,203,12,145,"6' 3""",225
Luke Rector,TOLEDO,50,C,Offense,61.3,,,40.1,78.6,54.3,865,,,0,462,403,,,,,,,,,"6' 5""",300
Martez Poynter,TOLEDO,8,DT,Defense,,,,,,,,,,,,,82.1,67.7,90.5,67.9,547,261,285,1,"6' 4""",290
Peyton Strickland,TOLEDO,80,TE,Offense,53.9,,,55.6,73.7,53.2,361,,,238,24,99,,,,,,,,,"6' 3""",235
Rico Bond,TOLEDO,1,WR,Offense,75.6,,57.9,77.0,62.1,62.7,728,,1,390,1,336,,,,,,,,,"6' 1""",177
Terrell Crosby Jr.,TOLEDO,5,WR,Offense,64.8,,59.5,66.1,,62.4,264,,1,143,,120,,,,,,,,,"5' 10""",182
Donnie Smith,TROY,22,EDGE,Defense,,,,,,,,,,,,,70.4,60.3,71.1,73.1,479,206,234,39,"6' 4""",234
Goose Crowder,TROY,9,QB,Offense,73.2,69.9,69.6,,,60.0,398,244,17,,,137,,,,,,,,,"6' 2""",214
Jackson Worley,TROY,88,TE,Offense,48.0,,,50.1,47.5,52.6,389,,,94,65,230,,,,,,,,,"6' 4""",236
Joe Lott,TROY,29,S,Defense,,,,,,,,,,,,,57.8,38.2,60,67.2,263,135,1,127,"6' 3""",192
Jonathan Pennix,TROY,14,CB,Defense,,,,,,,,,,,,,75.9,70.1,59.1,75.7,472,205,2,265,"6' 0""",178
Jordan Lovett,TROY,1,RB,Offense,62.0,,64.1,62.8,46.1,45.0,328,,88,139,60,41,,,,,,,,,"5' 10""",186
Julian Peterson,TROY,99,DT,Defense,,,,,,,,,,,,,73.3,79.9,61.8,61.2,391,193,196,2,"6' 3""",305
Justin Powe,TROY,6,S,Defense,,,,,,,,,,,,,53.2,67.5,65.7,44.2,734,353,2,379,"6' 0""",210
Knai Cook,TROY,10,S,Defense,,,,,,,,,,,,,74.1,72.6,73.9,74.4,698,322,6,370,"6' 0""",203
Luke Hodge,TROY,44,LB,Defense,,,,,,,,,,,,,68,66.5,66,66.8,418,217,29,172,"6' 2""",220
Luke Petit,TROY,51,OG,Offense,67.9,,,70.0,65.7,67.8,822,,,1,473,348,,,,,,,,,"6' 3""",299
TJ Thompson,TROY,4,LB,Defense,,,,,,,,,,,,,43.4,47.5,64.9,39.9,347,126,33,188,"6' 0""",219
Tucker Kilcrease,TROY,10,QB,Offense,61.1,61.7,57.1,57.9,62.2,60.0,524,308,55,1,1,159,,,,,,,,,"6' 0""",208
Tyler Cappi,TROY,65,C,Offense,56.9,,,,45.6,59.4,425,,,,277,148,,,,,,,,,"6' 3""",295
Anthony Brown-Stephens,TULANE,5,WR,Offense,65.9,,65.6,66.9,,54.6,514,,3,299,,212,,,,,,,,,"5' 10""",178
Anthony Rogers,TULANE,12,CB,Defense,,,,,,,,,,,,,72.2,79.5,57.3,69.9,743,391,2,350,"5' 11""",176
Chris Rodgers,TULANE,4,LB,Defense,,,,,,,,,,,,,54.8,53.3,74.8,49.6,791,316,71,404,"6' 1""",222
Dalton Hughes,TULANE,11,LB,Defense,,,,,,,,,,,,,53.9,57.4,70.6,46.7,275,143,21,111,"6' 3""",226
Dawson Johnson,TULANE,19,TE,Offense,52.9,,,55.6,58.6,43.1,346,,,129,42,175,,,,,,,,,"6' 3""",232
E'zaiah Shine,TULANE,5,CB,Defense,,,,,,,,,,,,,61.4,61.5,46.2,63.8,704,293,4,407,"6' 1""",201
Gavin Marks,TULANE,60,C,Offense,65.1,,,,71.6,61.4,634,,,,351,283,,,,,,,,,"6' 3""",297
Isaiah Iton,TULANE,78,OT,Offense,55.0,,,,50.6,57.9,776,,,,375,401,,,,,,,,,"6' 5""",330
Jah'rie Garner,TULANE,48,EDGE,Defense,,,,,,,,,,,,,69.8,61.6,66.7,75,274,114,120,40,"6' 3""",234
Jaylan Beckley,TULANE,75,OT,Offense,66.9,,,,73.9,62.7,826,,,,384,442,,,,,,,,,"6' 6""",315
Jordan Mcallister,TULANE,15,EDGE,Defense,,,,,,,,,,,,,70.7,71.3,71,62.5,502,230,258,14,"6' 3""",243
Makai Williams,TULANE,42,LB,Defense,,,,,,,,,,,,,57.6,68.9,56.9,46.8,382,169,46,167,"6' 1""",231
TJ Smith,TULANE,3,CB,Defense,,,,,,,,,,,,,59,58.5,72.2,56.8,270,107,12,151,"5' 10""",183
Zycarl Lewis Jr.,TULANE,1,WR,Offense,69.9,,,71.3,,58.5,284,,,157,,127,,,,,,,,,"5' 10""",170
Baylor Hayes,TULSA,10,QB,Offense,59.2,57.3,60.2,55.2,,60.5,740,403,44,3,,290,,,,,,,,,"6' 0""",185
Caldra Williford,TULSA,16,CB,Defense,,,,,,,,,,,,,68.1,61.6,53.5,71.5,339,170,2,167,"5' 9""",190
D.J. McKinney,TULSA,4,RB,Offense,68.3,63.3,72.6,55.5,29.7,61.3,309,4,111,131,23,40,,,,,,,,,"5' 9""",190
Dailen Howard,TULSA,88,DT,Defense,,,,,,,,,,,,,69.4,76,58.3,56.3,479,220,258,1,"6' 1""",275
David Wells Jr.,TULSA,1,WR,Offense,62.5,,47.5,64.3,62.1,55.7,595,,4,345,1,245,,,,,,,,,"6' 2""",170
Devin Hightower,TULSA,24,LB,Defense,,,,,,,,,,,,,70,67.3,70.3,68.9,652,368,23,261,"6' 1""",230
Devin Robinson,TULSA,2,CB,Defense,,,,,,,,,,,,,70.2,75.8,57.2,70.7,627,332,27,268,"6' 0""",210
Elijah Green,TULSA,7,CB,Defense,,,,,,,,,,,,,79.3,72.2,55.4,80.8,809,417,1,391,"6' 2""",195
Grayson Tempest,TULSA,19,WR,Offense,62.2,,,62.8,,58.6,383,,,208,,175,,,,,,,,,"5' 10""",190
Hudson Ball,TULSA,32,EDGE,Defense,,,,,,,,,,,,,68,74.1,57.2,54.2,479,252,219,8,"6' 3""",255
Ian Mayes,TULSA,52,OG,Offense,60.1,,,,56.7,60.3,402,,,,204,198,,,,,,,,,"6' 3""",300
JD Drew,TULSA,3,CB,Defense,,,,,,,,,,,,,66.3,82.8,59.9,63.8,635,301,1,333,"6' 0""",170
Javon Ross,TULSA,9,WR,Offense,75.8,,86.7,74.0,63.5,64.5,607,,7,349,1,250,,,,,,,,,"5' 8""",170
Malachi Preciado,TULSA,50,C,Offense,61.8,,,,66.2,59.9,842,,,,363,479,,,,,,,,,"6' 2""",305
Micah Tease,TULSA,3,WR,Offense,57.2,,63.1,57.7,,49.1,322,,1,186,,135,,,,,,,,,"6' 0""",190
Nahki Johnson,TULSA,88,DT,Defense,,,,,,,,,,,,,74,71.1,77.4,60,503,238,265,0,"6' 3""",285
Rylan Leathers,TULSA,19,S,Defense,,,,,,,,,,,,,75,76.3,,71.5,682,297,,385,"6' 0""",190
Tai Newhouse,TULSA,99,DT,Defense,,,,,,,,,,,,,71.6,74.7,61.2,55.5,412,238,173,1,"6' 3""",320
Tim Hardiman,TULSA,10,DT,Defense,,,,,,,,,,,,,80.4,80.6,74.9,61,461,231,230,0,"5' 11""",290
Trequan Jones,TULSA,3,RB,Offense,85.9,,86.8,56.7,65.4,55.6,256,,105,50,61,40,,,,,,,,,"5' 9""",180
Tyson Williams,TULSA,4,CB,Defense,,,,,,,,,,,,,71.4,79.9,71.4,67.6,874,352,3,519,"5' 10""",190
Zach Williams,TULSA,1,S,Defense,,,,,,,,,,,,,76.3,69.1,60,78.3,689,343,1,345,"6' 2""",195
Adam Lepkowski,UAB,68,C,Offense,69.9,,,,78.7,66.3,873,,,,515,358,,,,,,,,,"6' 3""",300
Anta'Veon McKenzie,UAB,11,S,Defense,,,,,,,,,,,,,75.3,77.8,59.4,72.9,458,219,1,238,"6' 1""",195
Antonio Ferguson,UAB,85,TE,Offense,58.2,,,62.8,50.3,69.1,319,,,100,55,164,,,,,,,,,"6' 3""",235
Bam McReynolds,UAB,3,RB,Offense,87.6,,85.1,73.8,76.7,53.5,240,,125,56,38,21,,,,,,,,,"5' 7""",190
Blanche Gold,UAB,7,EDGE,Defense,,,,,,,,,,,,,79,74.9,79.1,55.7,639,285,334,20,"6' 2""",240
Calib Perez,UAB,75,OG,Offense,62.4,,,,69.9,59.1,548,,,,328,220,,,,,,,,,"6' 5""",315
Darrell Sweeting,UAB,1,CB,Defense,,,,,,,,,,,,,57.6,49.1,63,58.9,476,195,7,274,"6' 0""",185
Deandre Marshall,UAB,74,OT,Offense,65.1,,,,73.4,59.6,874,,,,435,439,,,,,,,,,"6' 6""",310
Delvon Gulley,UAB,5,CB,Defense,,,,,,,,,,,,,59.9,72,67.2,55.8,396,219,6,171,"6' 1""",190
Diezel Wilkinson,UAB,24,S,Defense,,,,,,,,,,,,,79.9,75.4,69.6,81.1,686,271,27,388,"6' 0""",200
J.C. Sivley,UAB,88,TE,Offense,48.8,,,55.9,64.3,42.5,265,,,110,53,102,,,,,,,,,"6' 6""",255
Ja'Vin Simpkins,UAB,7,RB,Offense,68.3,,74.1,43.3,54.6,56.4,390,,127,141,64,58,,,,,,,,,"5' 9""",185
Jeremiah Jordan,UAB,13,CB,Defense,,,,,,,,,,,,,66.6,76.2,63.8,62.2,369,157,2,210,"6' 2""",205
Marlin Dean,UAB,4,EDGE,Defense,,,,,,,,,,,,,65.1,56.3,77.3,65.2,414,203,180,31,"6' 5""",240
Muaaz Byard,UAB,35,LB,Defense,,,,,,,,,,,,,55.2,58.9,63.2,49.3,321,172,16,133,"6' 2""",230
Que Billingsley,UAB,6,CB,Defense,,,,,,,,,,,,,72.9,68.2,62.8,72.6,670,336,6,328,"6' 0""",190
Raymond Macias,UAB,99,DT,Defense,,,,,,,,,,,,,67.9,70.5,61.8,,348,161,187,,"6' 1""",310
Shaun Myers,UAB,40,LB,Defense,,,,,,,,,,,,,70.1,69.1,52.4,74.1,318,190,33,95,"6' 1""",220
Tylin Jackson,UAB,17,EDGE,Defense,,,,,,,,,,,,,67.3,73.5,54.1,67,562,274,284,4,"6' 4""",255
Alonza Barnett III,UCF,14,QB,Offense,71.1,61.5,78.7,47.6,62.2,60.3,919,433,107,3,1,375,,,,,,,,,"5' 11""",210
Antione Jackson,UCF,7,CB,Defense,,,,,,,,,,,,,66.8,80.2,58.7,63.9,557,273,2,282,"6' 1""",185
Brad Gurley Jr.,UCF,93,DT,Defense,,,,,,,,,,,,,79.7,85.2,68,55.1,630,328,302,0,"6' 2""",300
Brady Wayburn,UCF,66,OG,Offense,71.9,,,,47.6,77.1,445,,,,245,200,,,,,,,,,"6' 5""",305
Braeden Marshall,UCF,4,CB,Defense,,,,,,,,,,,,,64.5,71.6,55.2,61.6,476,216,5,255,"5' 10""",200
Bruno Dall,UCF,41,EDGE,Defense,,,,,,,,,,,,,79.3,74.9,81.5,70.6,628,301,232,95,"6' 7""",260
DJ Bell,UCF,5,CB,Defense,,,,,,,,,,,,,68.2,62.4,45.6,69.9,314,162,2,150,"6' 2""",185
Duane Thomas Jr.,UCF,7,WR,Offense,69.0,28.7,66.7,69.0,71.6,69.1,462,1,14,304,2,141,,,,,,,,,"5' 8""",175
Dylan Burk,UCF,83,TE,Offense,45.5,,,53.6,64.2,41.1,225,,,97,35,93,,,,,,,,,"6' 7""",255
Dylan Wade,UCF,0,TE,Offense,68.5,,,78.0,49.4,36.0,384,,,252,29,103,,,,,,,,,"6' 2""",240
Gaard Memmelaar,UCF,64,OG,Offense,55.1,,,,74.9,48.8,301,,,,173,128,,,,,,,,,"6' 4""",315
Grayson Brousseau,UCF,88,TE,Offense,52.4,,,50.0,58.9,61.5,241,,,83,40,118,,,,,,,,,"6' 5""",245
Jahleel Culbreath,UCF,34,LB,Defense,,,,,,,,,,,,,66.4,60.8,68.2,65.5,626,268,120,238,"6' 4""",222
Jailen Duffie,UCF,17,CB,Defense,,,,,,,,,,,,,74.3,87.3,48.5,71.5,391,167,8,216,"5' 11""",175
Jayden Bellamy,UCF,1,CB,Defense,,,,,,,,,,,,,76.4,62.9,68.8,77.8,666,338,4,324,"6' 1""",190
Jonathan Bibbs,UCF,3,WR,Offense,70.3,,68.3,71.3,61.9,56.7,330,,7,183,1,139,,,,,,,,,"6' 1""",180
Josh Derry,UCF,5,WR,Offense,89.9,,57.8,90.2,62.1,64.2,525,,3,304,1,217,,,,,,,,,"5' 9""",182
Keyone Jenkins,UCF,12,QB,Offense,59.0,59.2,57.5,60.0,,60.1,577,316,20,1,,240,,,,,,,,,"6' 0""",200
