player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Domanick Moon,162888,LB,W MICHIGAN,5,3,0,100.0,0,0,347,0,0,56.7,55.7,75.1,53.0,57.0,71.1,0,0,0,0,7,7.7,1,0,0,135.4,1,0,0,102,0,43,113,0,0,0,0,0,2,113,5,65,9,5,9,0,1,0,1,7,0,7.0
Roman Pitre,162890,ED,ARIZONA ST,5,0,0,,0,0,110,0,0,,61.1,78.0,55.4,66.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,45,45,0,0,45,0,0,0,28,17,0,0,0,0,0,0,0,0,0,
DJ Allen,162894,ED,RUTGERS,6,1,0,,0,0,278,0,0,61.0,75.4,75.6,55.2,76.5,76.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,0,0,24,10,0,0,16,18,0,2,3,1,0,1,0,0,0,
Dariel Djabome,162903,LB,RUTGERS,12,19,1,83.3,0,2,278,0,0,62.3,69.7,89.8,72.3,69.2,79.1,3,13,0,0,28,8.1,8,0,0,106.9,40,2,0,522,1,332,703,104,0,4,98,2,1,599,88,283,75,44,72,2,48,18,1,384,244,9.6
Timmy Hinspeter,162906,LB,RUTGERS,11,10,0,100.0,0,0,278,0,0,59.5,62.8,81.1,55.2,65.1,88.1,0,0,0,0,5,0.0,0,0,0,127.1,2,0,0,80,1,40,138,30,0,0,30,0,0,108,6,92,26,5,7,1,2,0,1,10,1,5.0
David Onuoha,162913,ED,RUTGERS,7,1,0,,0,0,278,0,0,,53.7,78.0,56.8,52.8,72.2,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,34,33,0,0,33,0,0,1,22,12,0,0,0,0,0,2,0,0,0,
Jordan Walker,162919,ED,RUTGERS,12,8,0,100.0,0,0,278,0,0,52.3,74.9,87.2,75.0,68.7,79.0,4,14,0,0,25,5.9,1,0,0,118.8,1,4,1,0,0,5,299,299,0,2,293,4,0,0,201,93,0,8,8,0,1,22,0,25,11,25.0
Zilan Williams,162922,CB,RUTGERS,4,0,0,33.3,0,0,278,0,0,68.8,64.8,70.2,,60.0,73.5,0,0,0,0,10,0.0,0,0,0,43.8,1,0,0,0,10,8,11,0,0,0,0,0,0,11,0,3,0,1,1,0,3,0,0,10,-1,10.0
Michael Cates,162929,S,FAU,1,1,0,,0,1,165,0,0,84.7,81.3,72.3,,60.0,79.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,8,12,0,0,0,0,0,6,12,0,4,1,0,1,0,0,0,0,0,0,
Jamarrion Solomon,162949,DI,FIU,12,3,0,,0,0,166,0,0,65.5,79.3,84.2,85.0,66.1,43.6,7,12,0,0,,18.2,4,0,0,0.0,0,1,0,0,0,0,342,342,87,241,6,8,0,0,192,150,0,12,15,2,0,20,0,0,0,
