player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Colbie Young,162739,WR,GEORGIA,5,40.9,0,173,70.2,,71.3,0,0,0,0.0,0.0,,0,0,0,56,0,0,0,137,0,81,0,0,56,0
Julian Gray,143994,WR,LIBERTY,7,50.5,0,206,58.0,64.5,53.4,0,0,1,2.1,2.0,100.0,0,0,0,56,0,0,0,111,1,51,0,0,55,1
Will Montesi,147328,WR,ARMY,9,90.3,0,114,90.0,67.5,91.8,0,0,1,16.7,14.3,100.0,0,0,0,56,0,0,0,62,1,7,0,0,55,8
Reggie Love III,129418,HB,PURDUE,11,25.0,0,273,72.9,61.3,49.6,2,1,39,33.6,34.7,93.6,0,4,1,56,0,0,0,224,43,124,0,0,13,0
Aneyas Williams,184108,HB,NOTRE DAME,12,35.7,0,258,68.2,48.3,63.4,0,3,35,34.7,35.8,95.7,1,3,0,56,0,0,0,157,39,109,0,0,17,0
Nik McMillan,157951,WR,BUFFALO,2,57.1,0,126,64.3,,61.0,0,0,0,0.0,0.0,,0,0,0,56,0,0,0,98,0,42,0,0,56,0
Paul Davis,176308,WR,AKRON,11,54.9,0,102,50.1,60.9,80.8,0,0,1,2.2,2.1,100.0,0,0,0,56,0,0,0,102,1,47,0,0,55,0
Tyson Thompson,121708,WR,RICE,8,58.3,0,275,52.8,,47.2,0,0,0,0.0,0.0,,1,0,0,56,0,0,0,96,0,40,0,0,56,2
Connor Drake,172275,G,DOMINION,2,100.0,0,263,42.6,8.9,48.2,1,3,25,100.0,100.0,92.0,1,4,0,56,0,5,0,56,26,26,51,0,30,0
Mike Wright Jr.,124366,QB,NWESTERN,3,38.4,0,256,62.2,,60.1,0,0,0,0.0,0.0,,0,0,0,56,0,0,0,146,0,76,0,0,56,0
Andre Dollar,157346,TE,WASH STATE,6,53.8,0,341,46.2,72.1,51.2,0,0,6,12.0,12.7,100.0,0,0,0,56,0,0,0,104,7,55,0,0,49,74
Joey Tanona,156975,T,PURDUE,6,100.0,0,273,64.4,74.0,59.7,0,2,31,100.0,100.0,96.8,0,2,0,56,0,18,37,56,33,33,0,0,23,1
JT Seagreaves,158708,TE,WISCONSIN,7,76.7,0,349,58.7,67.3,59.0,0,0,1,6.3,5.6,100.0,1,0,0,56,0,0,0,73,1,18,0,0,55,66
Kody Epps,122057,WR,BYU,6,41.5,0,128,52.5,62.1,71.4,0,0,1,1.3,1.3,100.0,1,0,0,56,0,0,0,135,1,80,0,0,55,0
Curtis Douglas,176095,HB,KENT STATE,8,34.8,0,201,62.4,57.4,69.1,0,5,41,41.4,43.8,91.5,0,6,1,56,0,0,0,161,46,105,0,0,10,1
Hollywood Smothers,173719,HB,NC STATE,10,22.9,0,248,76.0,34.9,71.9,2,3,36,25.5,24.8,93.1,0,5,0,56,0,0,0,245,37,149,0,0,19,0
Rykem Laney,156700,WR,GA STATE,12,32.6,0,175,58.8,,61.4,0,0,0,0.0,0.0,,0,0,0,56,0,0,0,172,0,116,0,0,56,0
Logan Reichert,175911,G,MISSOURI,3,100.0,0,229,49.6,55.3,56.9,0,1,18,100.0,100.0,97.2,2,1,0,56,0,43,0,56,20,20,13,0,36,0
Dallan Hayden,162865,HB,COLORADO,10,21.2,0,143,58.1,47.3,47.7,1,0,44,24.9,26.3,94.3,0,3,2,55,0,0,0,259,50,190,0,0,5,0
Connor Gilbreath,175888,T,BOISE ST,2,100.0,0,120,68.1,34.0,72.1,0,0,19,100.0,100.0,89.5,0,2,2,55,0,0,54,55,19,19,0,0,36,1
Nolan Ray,170203,HB,MARYLAND,12,22.2,0,215,73.5,45.2,41.5,3,0,30,21.1,22.0,95.0,0,3,0,55,0,0,0,248,33,150,0,0,22,0
Chris Carter,102499,TE,N ILLINOIS,6,87.3,0,254,51.9,71.6,53.8,0,0,6,46.2,42.9,100.0,1,0,0,55,0,0,0,63,6,14,0,1,49,56
DeMarcus Harris,99244,WR,MARSHALL,12,51.4,1,214,54.9,,50.7,0,0,0,0.0,0.0,,1,0,0,55,0,0,0,107,0,52,0,0,55,1
Tommy Kinsler IV,175380,T,MIAMI FL,5,100.0,0,220,58.1,36.2,60.4,0,1,15,100.0,100.0,96.7,0,1,0,55,0,2,45,55,15,15,0,7,40,1
Kanye Roberts,157543,HB,APP STATE,8,24.3,0,108,60.6,42.0,55.9,0,2,39,31.7,32.0,97.4,0,2,0,55,0,0,0,226,41,128,0,0,14,0
Leland Smith,190924,WR,PURDUE,9,45.8,0,273,58.7,,49.9,0,0,0,0.0,0.0,,0,0,0,55,0,0,0,120,0,65,0,0,55,1
Maddox Lassiter,172412,FB,ARKANSAS,9,85.9,0,111,59.8,75.2,61.3,0,0,2,18.2,18.2,100.0,0,0,0,55,0,0,0,64,2,11,0,0,53,11
Vaughn Pemberton,145628,HB,BALL ST,10,28.1,1,117,68.4,84.7,53.8,0,0,31,28.7,28.6,100.0,1,0,0,55,0,0,0,196,32,112,0,0,23,1
Amari Niblack,163606,TE,TEXAS,7,61.1,0,311,44.4,23.3,46.0,0,0,1,2.9,5.4,100.0,2,0,0,55,0,0,0,90,2,37,0,0,53,74
Jamel Hardy Jr.,176490,WR,UTSA,11,37.2,1,331,69.2,,50.2,0,0,0,0.0,0.0,,1,0,0,55,0,0,0,148,0,93,0,0,55,0
Kentrel Bullock,124129,HB,S ALABAMA,12,13.9,0,288,79.9,49.8,63.2,0,1,17,8.0,8.9,97.1,1,1,0,55,0,0,0,396,20,224,0,0,35,1
Kay'Ron Lynch-Adams,101643,HB,MICH STATE,12,16.7,1,223,80.7,39.2,55.5,1,2,32,19.3,19.4,95.3,1,3,0,55,0,0,0,330,34,175,0,0,21,0
Chad Alexander,175356,HB,GA TECH,9,30.1,0,176,66.6,31.9,55.6,0,2,14,16.1,16.5,92.9,1,2,0,55,0,0,0,183,15,91,0,0,40,0
LaKelsey Johnson Jr.,158559,TE,BAYLOR,3,74.3,0,118,54.2,54.5,59.9,0,0,8,32.0,34.5,100.0,0,0,0,55,0,0,0,74,10,29,0,0,45,42
Jamari Ferrell,71409,HB,WYOMING,12,26.3,0,351,64.5,52.8,54.4,2,3,27,28.4,28.0,90.7,2,5,0,55,0,0,0,209,28,100,0,0,27,0
Hans Lillis,123545,TE,E MICHIGAN,8,82.1,0,160,57.2,65.9,62.9,0,0,2,15.4,14.3,100.0,0,0,0,55,0,0,0,67,2,14,0,0,53,51
Desmond Reid,159936,HB,PITTSBURGH,10,10.5,0,268,74.7,23.4,56.4,1,2,35,10.4,10.4,92.9,0,4,1,55,0,0,0,524,37,357,0,0,18,0
Nathan Cardona,128120,G,BOISE ST,4,100.0,0,120,53.5,57.3,52.9,0,0,16,100.0,100.0,100.0,0,0,0,55,12,22,0,55,17,17,21,0,38,0
