player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Darrien Stewart,146445,CB,UNLV,1,0,0,100.0,0,0,325,0,0,52.6,53.5,71.3,,60.0,76.2,0,0,0,0,17.0,0.0,0,0,0,118.8,1,0,0,0,0,4,7,0,0,0,0,0,2,7,0,3,5,0,1,0,1,0,0,17,18,17.0,0
Giovanni Iovino,146522,LB,HAWAII,1,0,0,,0,0,180,0,0,60.0,74.4,66.2,60.0,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,,0
Chief Borders,146707,ED,UNLV,1,2,0,,0,0,325,0,0,64.0,67.7,80.2,66.4,61.8,26.0,1,3,0,0,,40.0,2,0,0,0.0,0,0,0,4,0,3,67,63,0,0,63,0,0,4,44,20,0,1,1,0,0,4,0,0,0,,0
Demarko Williams,146825,CB,W KENTUCKY,1,2,0,0.0,0,0,346,0,0,62.5,64.9,79.7,59.2,70.8,78.0,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,1,0,28,43,2,0,0,2,0,5,41,1,14,35,0,1,0,2,0,0,0,0,,0
Zachary Lovett,146889,LB,IOWA STATE,1,0,0,,0,0,193,0,0,62.6,55.7,72.9,56.6,52.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,9,0,4,13,2,0,0,2,0,0,11,3,6,2,0,0,0,0,0,0,0,0,,0
Tunmise Adeleye,146982,ED,UNLV,1,0,0,,0,0,325,0,0,60.0,74.0,78.7,77.2,57.3,74.7,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,48,47,1,8,36,2,0,1,37,10,0,1,2,1,0,3,0,0,0,,0
Dylan Flowers,147839,CB,W KENTUCKY,1,0,0,,0,0,346,0,0,64.8,65.2,71.9,,60.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,15,10,15,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,,0
Carsen Stocklinski,148415,DI,HAWAII,1,0,0,,0,0,180,0,0,,47.9,75.9,61.4,44.6,71.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,14,20,0,0,0,0,12,22,0,2,2,0,0,1,0,0,0,,0
Trey Harris,148808,S,SM HOUSTON,1,0,0,,0,0,281,0,0,64.9,64.6,73.0,60.0,61.4,75.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,13,24,0,0,0,0,0,10,24,1,10,2,1,1,0,0,1,0,0,0,,0
Jordan Washington,148854,CB,STANFORD,1,0,0,60.0,0,0,300,0,0,57.7,57.2,74.7,55.4,60.0,79.3,0,0,0,0,13.0,0.0,0,0,0,77.9,3,0,0,0,32,23,32,0,0,0,0,0,0,32,2,7,0,1,4,0,5,0,0,31,16,10.3,0
Finn Claypool,149576,ED,FRESNO ST,1,0,0,,0,0,169,0,0,,67.5,76.7,71.9,58.5,75.7,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,29,29,0,1,28,0,0,0,14,15,0,1,2,0,0,2,0,0,0,,0
Emon Allen,150299,CB,SM HOUSTON,1,1,0,50.0,0,0,281,0,0,54.7,58.6,77.4,,76.6,64.6,0,0,0,0,26.0,12.5,1,1,0,111.8,3,0,0,1,70,48,71,0,0,0,0,0,0,71,0,23,0,2,6,0,6,0,1,41,6,13.7,0
Jaden Hardy,150904,DI,W KENTUCKY,1,0,0,,0,0,346,0,0,,68.4,75.4,67.5,64.1,70.1,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,28,28,15,13,0,0,0,0,17,11,0,1,1,0,0,3,0,0,0,,0
Tamatoa McDonough,151151,ED,IOWA STATE,1,0,0,,0,0,193,0,0,,43.5,77.7,54.1,39.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,45,45,0,3,36,6,0,0,25,20,0,0,0,0,0,1,0,0,0,,0
