player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week
Quinton Jackson,163001,HB,RICE,1,22,6,1,14.3,17,0,117,0,0,6,71.0,92.2,3,9,275,0,18,77.2,71.1,76.4,,67.5,64.6,69.9,55.6,17,0,-6,1,2,30,2,1,1,22,1,119,77.0,3.5,5.4,-3.0,3,1
Myles Montgomery,144232,HB,UCF,1,21,2,0,0.0,0,0,79,0,1,2,55.0,32.7,2,5,323,0,7,77.5,74.5,77.7,,26.4,69.8,74.2,71.8,13,0,71,3,27,28,0,0,4,24,0,79,55.0,2.62,3.8,2.63,14,1
Telly Johnson Jr.,188420,HB,N ILLINOIS,1,21,3,0,0.0,0,0,67,1,0,3,50.0,32.5,0,3,254,1,12,34.4,62.6,76.1,,46.2,42.0,67.2,58.1,9,0,2,1,16,23,0,0,2,22,0,67,50.0,2.38,3.2,0.13,8,1
Kalib Hicks,173701,HB,OKLA STATE,1,21,3,0,0.0,0,0,56,0,0,3,56.0,38.1,0,3,262,0,6,77.3,74.5,75.8,,50.6,54.7,74.3,59.2,8,0,0,0,7,25,0,0,0,21,0,56,56.0,2.67,2.7,0.0,15,1
Dominic Richardson,122985,HB,TULSA,1,20,4,2,50.7,72,0,142,0,1,4,73.0,86.9,3,5,320,0,8,77.0,74.5,0.0,,67.9,56.4,78.8,47.9,57,1,6,1,15,25,0,0,2,21,1,142,73.0,3.65,7.1,0.4,12,1
Haynes King,124329,QB,GA TECH,1,20,1,3,55.8,87,0,154,0,0,1,19.0,5.3,5,9,176,2,10,44.2,64.0,77.2,61.7,,,62.1,60.0,45,0,0,0,0,47,2,1,0,19,3,156,20.0,1.0,7.8,,4,1
Jay Ducker,130550,HB,TEMPLE,1,19,2,2,57.0,73,0,128,0,0,2,44.0,22.1,2,5,306,0,5,76.5,67.3,76.6,,74.7,57.3,67.7,58.5,55,0,5,2,11,23,0,0,2,21,0,128,44.0,2.32,6.7,0.45,14,1
CJ Donaldson,157372,HB,OHIO STATE,1,19,0,0,0.0,0,0,67,0,0,0,43.0,0.0,0,4,260,0,15,76.7,71.1,76.4,,76.1,61.5,70.4,60.0,8,0,9,1,13,25,0,0,1,20,1,67,43.0,2.26,3.5,0.69,4,1
Hayden Reed,163213,HB,ARMY,1,19,5,1,42.0,37,0,88,0,0,5,35.0,48.5,2,5,114,1,6,30.0,59.6,80.7,,73.2,56.0,59.3,58.0,37,0,0,0,5,51,0,0,0,19,1,88,35.0,1.84,4.6,0.0,2,1
Kiael Kelly,145634,QB,BALL ST,1,18,8,0,0.0,0,0,40,0,0,2,18.0,29.8,3,4,117,0,9,73.0,53.1,75.9,41.8,,,63.5,60.0,12,0,0,0,0,24,38,7,0,11,0,78,73.0,4.06,4.3,,2,1
