player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jonathan Paylor,190869,HB,NC STATE,1,2,3,1,98.1,51,0,52,0,0,3,49,3675.0,1,1,248,0,1,65.5,89.4,66.1,,,,77.9,,51,0,0,0,0,2,0,0,0,2,0,52,49,24.5,26.0,,0
Justin Powell,218792,HB,RICE,1,2,0,0,0.0,0,0,3,0,0,0,4,0.0,0,0,275,0,2,65.5,62.7,69.3,,,,57.1,71.0,2,0,0,0,0,5,0,0,0,2,0,3,4,2.0,1.5,,0
Eugene Wilson III,175886,WR,LSU,2,2,1,0,0.0,0,0,10,1,2,1,16,200.0,0,0,211,1,1,30.4,63.8,80.0,,,62.8,63.1,61.6,9,0,128,10,66,49,0,0,11,12,0,10,16,8.0,5.0,1.94,1
Kaleb Annett,190985,QB,UCF,1,2,0,0,0.0,0,0,9,0,0,0,2,0.0,0,1,323,0,0,65.9,53.3,0.0,,,,60.1,60.0,9,1,0,0,0,12,0,0,0,2,0,9,2,1.0,4.5,,2
Deshaun Buchanan,175075,HB,NEW MEXICO,1,2,0,0,0.0,0,0,10,0,0,0,4,0.0,0,2,241,0,1,65.5,68.9,71.8,,80.1,56.6,68.8,60.0,5,0,0,0,7,3,0,0,0,2,1,10,4,2.0,5.0,0.0,1
Elijah Jackson,174961,HB,BALL ST,1,2,0,1,75.0,15,0,20,0,0,0,5,0.0,1,1,117,0,0,66.3,78.6,71.6,,72.7,75.1,68.6,,15,0,5,1,4,2,0,0,1,3,0,20,5,2.5,10.0,1.25,2
Cameron Seldon,174740,WR,USF,1,2,0,0,0.0,0,0,7,0,4,0,3,150.0,0,1,327,0,0,68.9,65.2,75.5,,,66.9,63.0,38.4,8,0,30,2,12,4,0,0,2,4,0,7,3,1.5,3.5,2.5,2
Marcellus Jackson,174568,WR,LA MONROE,2,2,2,0,0.0,0,0,6,1,1,2,6,81.8,0,0,209,0,2,69.3,69.0,77.6,,,69.4,58.5,59.5,4,0,58,9,23,14,0,0,12,11,0,6,6,3.0,3.0,2.52,0
Brady Wavrunek,174433,HB,N DAK ST,2,2,0,0,0.0,0,0,8,0,0,0,3,0.0,0,0,250,0,1,65.5,63.6,71.8,,71.6,57.8,62.7,60.0,5,0,0,0,3,5,0,0,0,2,0,8,3,1.5,4.0,0.0,1
Jackson Williams,192004,WR,N DAK ST,3,2,0,0,0.0,0,0,18,0,3,0,7,80.8,1,2,250,0,1,74.0,75.9,0.0,,,76.9,67.6,60.2,10,2,149,11,58,38,0,0,15,13,0,18,7,3.5,9.0,2.57,0
Sesi Vailahi,174313,HB,UTAH ST,1,2,1,0,0.0,0,0,-3,0,0,1,4,100.0,0,0,329,0,1,66.7,67.2,67.6,,,,65.4,57.9,3,0,0,0,0,4,0,0,0,2,0,-3,4,2.0,-1.5,,1
Luke Duncan,173972,QB,NEVADA,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,239,0,0,68.3,38.5,75.3,35.2,,,60.1,60.0,-1,0,0,0,0,24,0,0,0,2,0,-2,0,0.0,-1.0,,0
Daniel Beale,197861,QB,LA LAFAYET,1,2,0,0,0.0,0,0,1,0,0,0,3,0.0,0,1,207,0,0,67.1,53.2,71.8,46.3,,,64.4,60.0,2,0,0,0,0,10,0,0,0,2,0,1,3,1.5,0.5,,2
Omari Elias,198048,HB,AIR FORCE,1,2,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,101,0,1,65.5,52.5,70.1,,,,55.2,58.4,2,0,0,0,0,6,0,0,0,2,0,4,2,1.0,2.0,,0
Lotzeir Brooks,198090,WR,ALABAMA,2,2,0,0,0.0,0,0,3,0,1,0,3,16.7,0,0,103,0,1,69.0,64.9,78.9,,,66.6,58.4,51.6,3,0,77,7,50,29,0,0,8,9,0,3,3,1.5,1.5,1.54,0
Kalib Hicks,173701,HB,W KENTUCKY,1,2,1,0,0.0,0,0,5,0,0,1,8,133.3,0,0,346,0,2,66.3,67.9,73.0,,77.0,57.8,70.9,58.8,5,0,-3,1,10,6,0,0,1,3,0,5,8,4.0,2.5,-0.3,0
Charlie Miska,198206,HB,BYU,1,2,1,0,0.0,0,0,9,0,0,1,7,175.0,0,0,128,0,0,65.5,63.2,70.0,,,,62.1,60.0,8,0,0,0,0,3,0,0,0,2,0,9,7,3.5,4.5,,2
Justin Ruffin Jr.,198249,WR,C MICHIGAN,2,2,1,0,0.0,0,0,7,1,0,1,11,91.7,0,0,134,0,2,70.6,59.4,75.5,,,58.8,60.8,60.0,5,0,27,4,28,19,0,0,7,6,0,7,11,5.5,3.5,0.96,0
Max Shikenjanski,173421,QB,MINNESOTA,1,2,0,0,0.0,0,0,2,0,0,0,0,0.0,0,1,225,1,0,64.8,70.2,69.1,63.9,,,64.1,60.0,2,0,0,0,0,4,0,0,0,2,1,2,0,0.0,1.0,,2
K'saan Farrar,198321,QB,COLO STATE,1,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,144,0,0,66.2,62.1,71.6,62.2,,,60.0,60.0,-2,0,0,0,0,8,0,0,0,2,0,-4,0,0.0,-2.0,,0
Dan Mahan,198334,QB,DUKE,2,2,1,0,0.0,0,0,8,0,0,1,4,100.0,0,0,154,0,1,66.2,58.9,70.1,51.2,,,63.7,60.0,5,0,0,0,0,7,0,0,0,2,0,8,4,2.0,4.0,,1
Chaston Ditta,198345,QB,N TEXAS,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,251,0,0,65.7,75.3,71.8,80.4,,,57.6,60.0,1,0,0,0,0,11,1,1,0,1,0,-1,0,0.0,-0.5,,0
Daelen Alexander,173224,HB,COAST CAR,1,2,2,0,0.0,0,0,12,0,0,2,7,350.0,0,1,141,0,1,65.5,72.7,68.5,,,,68.5,60.0,8,0,0,0,0,5,0,0,0,2,0,12,7,3.5,6.0,,1
