player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Joe Taylor,144936,WR,MICHIGAN,1,0,0,,0,0,222,0,0,,60.0,60.0,,60.0,,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
T.J. Guy,144938,ED,MICHIGAN,11,3,0,71.4,1,0,222,0,0,58.4,68.1,35.1,74.7,65.2,37.2,2,13,0,1,11.0,26.1,6,0,2,41.1,5,2,0,3,0,44,325,311,0,1,308,2,0,14,138,143,11,10,14,1,7,17,0,32,19,6.4
Kechaun Bennett,144940,ED,UCLA,11,8,0,100.0,0,0,324,0,0,61.6,49.9,0.0,56.4,51.5,55.0,2,4,0,0,15.0,18.5,5,0,3,118.8,1,1,0,8,0,5,253,243,0,9,221,13,0,10,121,127,1,10,14,2,1,7,0,15,1,15.0
George Rooks,144941,DI,SYRACUSE,12,4,0,,0,0,304,0,0,60.0,51.6,55.5,53.8,52.0,79.0,0,2,0,0,,0.0,0,0,1,0.0,0,0,0,1,0,0,310,309,11,207,39,52,0,1,164,146,0,5,8,1,0,2,0,0,0,
Ike Iwunnah,144943,DI,MICHIGAN,7,1,0,,0,0,222,0,0,,69.7,75.3,59.6,72.1,70.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,38,38,4,32,0,2,0,0,21,17,0,0,0,0,0,1,0,0,0,
Charles Brantley,144956,CB,MIAMI FL,3,1,0,100.0,1,0,220,0,0,68.0,68.2,74.6,,60.4,77.0,0,0,0,0,6.0,0.0,0,0,1,91.7,2,0,0,1,30,23,31,0,0,0,0,0,0,31,0,8,0,1,1,0,2,0,0,12,12,6.0
Michael Gravely Jr.,144959,S,BALL ST,10,16,0,73.3,0,0,117,0,0,36.6,43.0,84.7,58.1,54.5,43.3,0,0,0,1,42.0,24.6,16,0,1,123.1,11,0,0,314,2,242,492,0,0,0,0,0,91,492,2,248,85,11,33,1,15,0,2,173,42,15.7
Khalil Majeed,144961,CB,MICH STATE,6,2,0,50.0,1,0,223,0,0,56.4,47.4,0.0,54.2,30.2,29.0,0,0,0,0,24.0,40.0,2,0,1,97.1,5,0,0,6,0,52,86,2,0,0,2,0,1,84,5,29,77,0,1,0,10,0,1,48,27,9.6
Darius Green,144982,S,MINNESOTA,11,5,0,76.0,0,0,225,0,0,55.0,60.9,85.7,59.2,73.0,65.7,0,2,0,0,19.0,13.3,4,0,1,92.4,19,0,0,107,4,201,372,38,0,0,38,0,27,334,24,147,196,10,21,3,25,2,0,162,103,8.5
Devon Williams,144984,LB,MINNESOTA,11,16,0,75.0,0,0,225,0,0,60.2,65.2,86.5,53.1,70.3,61.5,3,6,0,0,24.0,17.5,17,1,0,92.4,27,2,0,501,2,285,594,35,0,0,35,0,0,559,48,261,56,37,64,3,36,11,0,240,164,8.9
Luther McCoy,144986,DI,HAWAII,11,5,0,,0,2,180,0,0,68.5,65.7,15.2,71.2,50.6,50.8,7,9,0,0,,15.0,3,0,2,0.0,0,2,0,11,0,2,224,212,4,103,46,59,0,12,134,88,0,10,12,1,0,18,0,0,0,
Jacob Schuster,144987,DI,OREGON ST,7,4,2,,0,0,265,0,0,59.8,65.2,44.9,60.1,68.4,52.0,0,1,0,0,,12.5,2,0,1,0.0,0,1,0,0,0,2,212,212,35,164,1,12,0,0,103,107,0,8,10,0,0,2,0,0,0,
Nate Becker,144988,DI,MINNESOTA,12,2,0,,0,0,225,0,0,60.0,62.7,84.3,57.6,64.0,39.9,0,4,0,0,,30.0,3,0,0,0.0,0,1,0,0,0,0,207,207,87,119,0,1,0,0,115,92,0,5,5,2,0,5,0,0,0,
