player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tyler Brown,98070,G,COLORADO,1,100.0,0,143,72.4,,70.5,0,0,0,,,,0,0,0,5,0,5,0,5,0,0,0,0,5,0
Brooks Bahr,176286,T,MICHIGAN,1,100.0,0,222,60.2,,60.1,0,0,0,,,,0,0,0,5,0,0,5,5,0,0,0,0,5,0
Shamar Easter,172405,TE,N CAROLINA,7,9.4,0,245,46.5,67.4,38.9,0,0,1,2.1,2.0,100.0,0,0,0,5,0,0,0,53,1,49,0,1,4,9
Camden Etheredge,157054,TE,AUBURN,2,71.4,0,115,84.3,64.5,72.2,0,0,1,33.3,33.3,100.0,0,0,0,5,0,0,0,7,1,3,0,0,4,4
Jacob Norcross,190299,G,MEMPHIS,2,100.0,0,218,55.6,70.4,54.3,0,0,1,100.0,100.0,100.0,0,0,0,5,5,0,0,5,1,1,0,0,4,0
Darrell Smith,199730,HB,LA LAFAYET,2,33.3,0,207,55.3,18.6,60.0,1,0,2,22.2,30.0,75.0,0,1,0,5,0,0,0,15,3,10,0,0,2,0
Gavyn Baker,199328,FB,TROY,3,100.0,0,318,59.0,67.5,57.9,0,0,1,100.0,100.0,100.0,0,0,0,4,0,0,0,4,1,1,0,0,3,0
Jared Merk,176316,WR,BOWL GREEN,2,100.0,0,122,60.2,,60.2,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,0
Judah Price,176205,HB,MARSHALL,3,23.5,0,214,62.3,0.0,59.3,0,1,1,25.0,25.0,50.0,0,1,0,4,0,0,0,17,1,4,0,0,3,0
Arkel Anugwom,176081,T,ALABAMA,1,100.0,0,103,72.6,,75.4,0,0,0,,,,0,0,0,4,0,0,4,4,0,0,0,0,4,0
Addison Carlson,183357,WR,NC STATE,2,100.0,0,248,60.2,,60.2,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,0,4,0
Noah Fernandez,175553,T,FIU,1,100.0,0,166,60.2,65.7,59.9,0,0,1,100.0,100.0,100.0,0,0,0,4,0,0,0,4,1,1,0,4,3,0
Tanner Hollinger,183505,TE,ILLINOIS,1,80.0,0,187,48.7,,49.9,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,4
