Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134270-199586,WR,Nitro,Nitro Tuggle,Tuggle,1,1,6400,MSST@SCAR,SCAR,MSST,,,,,,WR/Super FLEX
134270-155370,WR,Horatio,Horatio Fields,Fields,10.899999618530273,2,6400,LSU@MISS,MISS,LSU,,,,,,WR/Super FLEX
134270-184305,WR,Anthony,Anthony Garcia,Garcia,1.75,2,6400,UTST@UTAH,UTST,UTAH,,,,,,WR/Super FLEX
134270-223228,RB,Duke,Duke Clark,Clark,20,1,6400,UF@AUB,UF,AUB,,,,,,RB/Super FLEX
134270-245835,TE,Mark,Mark Bowman,Bowman,10.266666412353516,3,6300,USC@RUT,USC,RUT,,,,,,WR/Super FLEX
134270-207333,RB,Nykahi,Nykahi Davenport,Davenport,10.350909146395596,11,6300,UF@AUB,AUB,UF,,,,,,RB/Super FLEX
134270-184924,WR,Jackson,Jackson Harper,Harper,15.25,2,6300,BYU@CSU,CSU,BYU,,,,,,WR/Super FLEX
134270-199532,RB,Braylen,Braylen Russell,Russell,1.2999999523162842,1,6300,UGA@ARK,ARK,UGA,,,,,,RB/Super FLEX
134270-183394,QB,Austin,Austin Mack,Mack,0.7599999904632568,1,6300,FSU@BAMA,BAMA,FSU,,,,,,QB/Super FLEX
134270-205937,WR,Rico,Rico Scott,Scott,7.5,2,6300,FSU@BAMA,BAMA,FSU,,,,,,WR/Super FLEX
134270-183477,WR,Jayce,Jayce Brown,Brown,1.899999976158142,1,6300,LSU@MISS,LSU,MISS,,,,,,WR/Super FLEX
134270-191696,WR,Marquis,Marquis Johnson,Johnson,9.350000381469727,2,6300,MSST@SCAR,MSST,SCAR,,,,,,WR/Super FLEX
134270-202167,WR,Micah,Micah Gilbert,Gilbert,8.300000190734863,2,6300,MSU@ND,ND,MSU,,,,,,WR/Super FLEX
134270-200415,RB,Derrick,Derrick McFall,McFall,9.5,2,6300,SMU@LOU,SMU,LOU,,,,,,RB/Super FLEX
134270-245849,QB,Jonas,Jonas Williams,Williams,1.4466667175292969,3,6200,USC@RUT,USC,RUT,,,,,,QB/Super FLEX
134270-185102,WR,Rico,Rico Flores Jr.,Flores Jr.,5.050000190734863,8,6200,WVU@UVA,UVA,WVU,Q,Hamstring,,,,WR/Super FLEX
134270-199525,TE,Caleb,Caleb Odom,Odom,14.100000381469727,1,6200,LSU@MISS,MISS,LSU,,,,,,WR/Super FLEX
134270-207817,WR,Terry,Terry Bussey,Bussey,9.850000381469727,2,6200,UK@TXAM,TXAM,UK,,,,,,WR/Super FLEX
134270-230392,RB,Steve,Steve Chavez-Soto,Chavez-Soto,5.650000095367432,2,6200,UTST@UTAH,UTAH,UTST,,,,,,RB/Super FLEX
134270-199761,RB,Caden,Caden Durham,Durham,0.05000000074505806,2,6200,LSU@MISS,LSU,MISS,,,,,,RB/Super FLEX
134270-200026,WR,Mazeo,Mazeo Bennett Jr.,Bennett Jr.,10.899999618530273,1,6200,MSST@SCAR,SCAR,MSST,,,,,,WR/Super FLEX
134270-183743,RB,Benjamin,Benjamin Hall,Hall,2.299999952316284,1,6200,UNC@CLEM,UNC,CLEM,,,,,,RB/Super FLEX
134270-200289,WR,Isiah,Isiah Canion,Canion,1.100000023841858,1,6200,UGA@ARK,UGA,ARK,,,,,,WR/Super FLEX
134270-176029,WR,Chris,Chris Marshall,Marshall,8.800000190734863,1,6200,UGA@ARK,ARK,UGA,,,,,,WR/Super FLEX
134270-188560,WR,John,John Neider,Neider,1.2000000476837158,1,6100,WVU@UVA,WVU,UVA,,,,,,WR/Super FLEX
134270-207098,RB,Makhi,Makhi Frazier,Frazier,1.899999976158142,2,6100,LSU@MISS,MISS,LSU,P,Undisclosed,,,,RB/Super FLEX
134270-203353,WR,Micahi,Micahi Danzy,Danzy,5,2,6100,FSU@BAMA,FSU,BAMA,,,,,,WR/Super FLEX
134270-223966,WR,Lotzeir,Lotzeir Brooks,Brooks,6.75,2,6100,FSU@BAMA,BAMA,FSU,,,,,,WR/Super FLEX
134270-242494,RB,Devaughn,Devaughn Eka,Eka,,0,6100,BYU@CSU,BYU,CSU,,,,,,RB/Super FLEX
134270-183196,QB,Eli,Eli Holstein,Holstein,14.577142987932477,7,6100,WVU@UVA,UVA,WVU,,,,,,QB/Super FLEX
134270-205949,RB,Xavier,Xavier Gayten,Gayten,5.050000190734863,2,6100,MSST@SCAR,MSST,SCAR,,,,,,RB/Super FLEX
134270-173228,QB,Davin,Davin Wydner,Wydner,,0,6100,SMU@LOU,LOU,SMU,,,,,,QB/Super FLEX
134270-230972,WR,Caleb,Caleb Cunningham,Cunningham,9.5,1,6100,LSU@MISS,MISS,LSU,,,,,,WR/Super FLEX
134270-231084,WR,Rodney,Rodney Bullard Jr.,Bullard Jr.,12.300000190734863,2,6100,MSU@ND,MSU,ND,,,,,,WR/Super FLEX
134270-174091,QB,Treyson,Treyson Bourguet,Bourguet,2.4200000762939453,1,6000,BYU@CSU,BYU,CSU,,,,,,QB/Super FLEX
